plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	7.0	0.0359669372917733	0.11164766112751662	0.0	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	535.0	5.242877463736419	27.18876480309391	0.0	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	899.0	14.580594901710706	97.55733087072834	0.0	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	59.0	1.4205959602622222	10.965617842719366	0.0	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	4.0	0.016033722243986435	0.0346114544178736	0.0	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	273.0	2.6214096660297033	13.422005380221838	0.0	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	235.0	3.7628939389792007	25.044527853028	0.0	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	19.0	0.45977230792650553	3.554861293459636	0.0	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	5.0	0.14506848882767776	1.1823946367242373	0.0	0.0
evenaged	10000.0	2037	false	alive	CH20	20	20-30	CH	1.0	0.006688291100055059	0.025937830259108605	0.0	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	221.0	2.3193018316422527	12.512636527087206	0.0	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	588.0	9.763569538022997	65.94337804044017	0.0	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	154.0	3.318786063429715	24.70120097025869	0.0	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	14.0	0.41690556588413213	3.422619297255391	0.0	0.0
evenaged	10000.0	2038	false	alive	CH30	30	30-40	CH	157.0	1.6825061285401182	9.173432508057012	0.0	0.0
evenaged	10000.0	2038	false	alive	CH40	40	40-50	CH	521.0	8.638883162738864	58.31152044636495	0.0	0.0
evenaged	10000.0	2038	false	alive	CH50	50	50-60	CH	277.0	5.992248008341121	44.63628190731653	0.0	0.0
evenaged	10000.0	2039	false	alive	CH60	60	60-70	CH	20.0	0.6166726848498938	5.11062520175898	0.0	0.0
evenaged	10000.0	2039	false	alive	CH30	30	30-40	CH	116.0	1.2945398529368397	7.214246894592657	0.0	0.0
evenaged	10000.0	2039	false	alive	CH40	40	40-50	CH	465.0	7.830377975317771	53.186209531411656	0.0	0.0
evenaged	10000.0	2039	false	alive	CH50	50	50-60	CH	368.0	8.209721067025319	61.790165290437386	0.0	0.0
evenaged	10000.0	2040	false	alive	CH60	60	60-70	CH	26.0	0.8285498172133214	6.926992323447905	0.0	0.0
evenaged	10000.0	2040	false	alive	CH30	30	30-40	CH	76.0	0.8814343989680458	5.013488108479242	0.0	0.0
evenaged	10000.0	2040	false	alive	CH40	40	40-50	CH	399.0	6.764509405890171	46.079082570358686	0.0	0.0
evenaged	10000.0	2040	false	alive	CH50	50	50-60	CH	468.0	10.741226741803013	81.61713653908888	0.0	0.0
evenaged	10000.0	2041	false	alive	CH60	60	60-70	CH	36.0	1.1649672914930143	9.780578362509575	0.0	0.0
evenaged	10000.0	2041	false	alive	CH30	30	30-40	CH	40.0	0.48354760094363236	2.8109299766261	0.0	0.0
evenaged	10000.0	2041	false	alive	CH40	40	40-50	CH	338.0	5.745818845486323	39.19309984447406	0.0	0.0
evenaged	10000.0	2041	false	alive	CH50	50	50-60	CH	555.0	13.129435365289405	100.76457710389147	0.0	0.0
evenaged	10000.0	2042	false	alive	CH60	60	60-70	CH	47.0	1.5466322642646757	13.043507730470596	0.0	0.0
evenaged	10000.0	2042	false	alive	CH30	30	30-40	CH	3.0	0.036279976600345314	0.21101742099776066	0.0	0.0
evenaged	10000.0	2042	false	alive	CH40	40	40-50	CH	261.0	4.301305149433506	28.967462145196222	0.0	0.0
evenaged	10000.0	2042	false	alive	CH50	50	50-60	CH	658.0	15.991240474361735	123.81569011890072	0.0	0.0
evenaged	10000.0	2043	false	alive	CH60	60	60-70	CH	162.0	4.959058931330673	41.03388892859661	0.0	0.0
evenaged	10000.0	2043	false	alive	CH70	70	70-80	CH	5.0	0.19761797775542714	1.7402644143678154	0.10059463788404341	0.0
evenaged	10000.0	2043	false	alive	CH30	30	30-40	CH	1.0	0.012155924932466818	0.07085112577185156	0.0	0.0
evenaged	10000.0	2043	false	alive	CH40	40	40-50	CH	218.0	3.724680436984391	25.44288159568338	0.0	0.0
evenaged	10000.0	2043	false	alive	CH50	50	50-60	CH	583.0	14.377273528134669	111.81326312013233	0.0	0.0
evenaged	10000.0	2044	false	alive	CH60	60	60-70	CH	281.0	8.65019175131551	71.66724111054062	0.0	0.0
evenaged	10000.0	2044	false	alive	CH70	70	70-80	CH	14.0	0.5658140194573466	5.007647529666276	0.2959214008008599	0.0
evenaged	10000.0	2044	false	alive	CH40	40	40-50	CH	154.0	2.674037679013621	18.373740606580174	0.0	0.0
