plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
evenaged	10000.0	2036	false	alive	CH20	20	20-30	CH	7.0	0.0359669372917733	0.11164766112751663	0.0	0.0
evenaged	10000.0	2036	false	alive	CH30	30	30-40	CH	535.0	5.242877463736419	27.188764803093903	0.0	0.0
evenaged	10000.0	2036	false	alive	CH40	40	40-50	CH	899.0	14.580594901710699	97.55733087072826	0.0	0.0
evenaged	10000.0	2036	false	alive	CH50	50	50-60	CH	59.0	1.420595960262222	10.96561784271937	0.0	0.0
evenaged	10000.0	2036	true	cut	CH20	20	20-30	CH	5.0	0.021968368324966823	0.05518717183856312	0.0	0.0
evenaged	10000.0	2036	true	cut	CH30	30	30-40	CH	253.0	2.4219897929540406	12.377756719539107	0.0	0.0
evenaged	10000.0	2036	true	cut	CH40	40	40-50	CH	259.0	4.18070906875367	27.917355694115844	0.0	0.0
evenaged	10000.0	2036	true	cut	CH50	50	50-60	CH	14.0	0.33847781926053544	2.6153752926811658	0.0	0.0
evenaged	10000.0	2037	false	alive	CH60	60	60-70	CH	7.0	0.20372607262452264	1.6619122459592663	0.0	0.0
evenaged	10000.0	2037	false	alive	CH30	30	30-40	CH	233.0	2.429567835811236	13.05344821825681	0.0	0.0
evenaged	10000.0	2037	false	alive	CH40	40	40-50	CH	574.0	9.46821424591177	63.777462462746556	0.0	0.0
evenaged	10000.0	2037	false	alive	CH50	50	50-60	CH	155.0	3.34437518789389	24.90297457969207	0.0	0.0
evenaged	10000.0	2038	false	alive	CH60	60	60-70	CH	17.0	0.509986447430357	4.195157263333876	0.0	0.0
evenaged	10000.0	2038	false	alive	CH30	30	30-40	CH	173.0	1.8642408653987772	10.193046024467442	0.0	0.0
evenaged	10000.0	2038	false	alive	CH40	40	40-50	CH	507.0	8.363263642090578	56.32631275321531	0.0	0.0
evenaged	10000.0	2038	false	alive	CH50	50	50-60	CH	272.0	5.881025632209782	43.79961178542582	0.0	0.0
evenaged	10000.0	2039	false	alive	CH60	60	60-70	CH	21.0	0.6564040758654852	5.459546907447725	0.0	0.0
evenaged	10000.0	2039	false	alive	CH30	30	30-40	CH	130.0	1.4658089611877665	8.214049435059442	0.0	0.0
evenaged	10000.0	2039	false	alive	CH40	40	40-50	CH	461.0	7.733651045701923	52.44580863989963	0.0	0.0
evenaged	10000.0	2039	false	alive	CH50	50	50-60	CH	357.0	7.978925732517369	60.09224553543608	0.0	0.0
evenaged	10000.0	2040	false	alive	CH60	60	60-70	CH	28.0	0.8987423907118859	7.528277705254972	0.0	0.0
evenaged	10000.0	2040	false	alive	CH30	30	30-40	CH	83.0	0.9717086885709464	5.554077266053997	0.0	0.0
evenaged	10000.0	2040	false	alive	CH40	40	40-50	CH	412.0	6.966493819631848	47.40621199422542	0.0	0.0
evenaged	10000.0	2040	false	alive	CH50	50	50-60	CH	446.0	10.257758254582363	77.9987718743067	0.0	0.0
evenaged	10000.0	2041	false	alive	CH60	60	60-70	CH	39.0	1.2691121307974098	10.67076106330761	0.0	0.0
evenaged	10000.0	2041	false	alive	CH30	30	30-40	CH	40.0	0.48913014015806855	2.8601698321043427	0.0	0.0
evenaged	10000.0	2041	false	alive	CH40	40	40-50	CH	358.0	6.054952288790926	41.2209637772029	0.0	0.0
evenaged	10000.0	2041	false	alive	CH50	50	50-60	CH	532.0	12.585061885371285	96.58827137880728	0.0	0.0
evenaged	10000.0	2042	false	alive	CH60	60	60-70	CH	53.0	1.7448974139265299	14.718236252629582	0.0	0.0
evenaged	10000.0	2042	false	alive	CH30	30	30-40	CH	2.0	0.02514791531874875	0.14916328683228303	0.0	0.0
evenaged	10000.0	2042	false	alive	CH40	40	40-50	CH	280.0	4.610387913962729	31.03681680243585	0.0	0.0
evenaged	10000.0	2042	false	alive	CH50	50	50-60	CH	634.0	15.365016545063142	118.86488906967348	0.0	0.0
evenaged	10000.0	2043	false	alive	CH60	60	60-70	CH	162.0	4.9555069045402	40.99635886309679	0.0	0.0
evenaged	10000.0	2043	false	alive	CH70	70	70-80	CH	8.0	0.3164202671401447	2.7869173539340073	0.16120322757998162	0.0
evenaged	10000.0	2043	false	alive	CH40	40	40-50	CH	230.0	3.9104177536697504	26.654928759011284	0.0	0.0
evenaged	10000.0	2043	false	alive	CH50	50	50-60	CH	569.0	13.953938348048272	108.33492520323111	0.0	0.0
evenaged	10000.0	2044	false	alive	CH60	60	60-70	CH	274.0	8.435078064304143	69.88544993865528	0.0	0.0
evenaged	10000.0	2044	false	alive	CH70	70	70-80	CH	17.0	0.6914216945713961	6.1278601012372516	0.3643287381381582	0.0
evenaged	10000.0	2044	false	alive	CH40	40	40-50	CH	170.0	2.9659232449807083	20.41532125094833	0.0	0.0
evenaged	10000.0	2044	false	alive	CH50	50	50-60	CH	508.0	12.478333744324585	96.92258232267275	0.0	0.0
evenaged	10000.0	2044	true	cut	CH60	60	60-70	CH	93.0	2.8546359527917766	23.63093164111163	0.0	0.0
evenaged	10000.0	2044	true	cut	CH70	70	70-80	CH	4.0	0.16364306124020134	1.452222199712871	0.08689360490894696	0.0
evenaged	10000.0	2044	true	cut	CH40	40	40-50	CH	108.0	1.8796935440371825	12.92650899243076	0.0	0.0
evenaged	10000.0	2044	true	cut	CH50	50	50-60	CH	185.0	4.485419430599689	34.70093319957251	0.0	0.0
evenaged	10000.0	2045	false	alive	CH60	60	60-70	CH	239.0	7.562688350995857	63.11673764577916	0.0	0.0
