plotname	area	date	isinterventionresult	status	classkey	lowerGirth	labelGirth	species	nbtree_ha	basalArea_ha	vc22StemHa	vc22BranchHa	vLogHa
Haugimont	100000.0	1992	false	alive	CH80	80	80-90	CH	3.800000000000002	0.2179548659700673	2.066932894685314	0.17606730583899094	0.0
Haugimont	100000.0	1992	false	alive	FR130	130	130-140	FR	0.7	0.10273809520584956	1.1107816734808587	0.22575546994484352	0.0
Haugimont	100000.0	1992	false	alive	MZ60	60	60-70	MZ	0.1	0.003453677773314825	0.0344548644876761	0.0	0.0
Haugimont	100000.0	1992	false	alive	HE120	120	120-130	HE	1.0999999999999999	0.13840014354552815	1.6216659732319092	0.2768321016714148	0.0
Haugimont	100000.0	1992	false	alive	BO120	120	120-130	BO	0.7999999999999999	0.0990902596495673	0.9220181762098009	0.07137275504848757	0.0
Haugimont	100000.0	1992	false	alive	MZ120	120	120-130	MZ	0.2	0.024310464966773214	0.29187857832578185	0.0	0.0
Haugimont	100000.0	1992	false	alive	ES80	80	80-90	ES	0.8999999999999999	0.049883619460475544	0.3985041803864228	0.0253122946016333	0.0
Haugimont	100000.0	1992	false	alive	HE240	240	240-250	HE	0.1	0.04932448784272375	0.647296042475495	0.28057263803486476	0.0
Haugimont	100000.0	1992	false	alive	FR30	30	30-40	FR	0.7	0.007431438853119542	0.05066159700223244	0.0	0.0
Haugimont	100000.0	1992	false	alive	MR120	120	120-130	MR	0.1	0.01166530117491267	0.10515218940075255	0.011943499528160038	0.0
Haugimont	100000.0	1992	false	alive	ES140	140	140-150	ES	0.4	0.06637197839949772	0.5806042160905042	0.12435572087909222	0.0
Haugimont	100000.0	1992	false	alive	ES130	130	130-140	ES	0.30000000000000004	0.04330416969440491	0.3741817687355812	0.06830914283406565	0.0
Haugimont	100000.0	1992	false	alive	EP140	140	140-150	EP	0.7	0.11998897285552329	1.5619733654641532	0.0	0.0
Haugimont	100000.0	1992	false	alive	PE40	40	40-50	PE	0.6	0.009448881702157387	0.06395739879726771	0.0	0.0
Haugimont	100000.0	1992	false	alive	FD80	80	80-90	FD	0.1	0.005741638244239525	0.059884435201976255	0.00461733429084356	0.0
Haugimont	100000.0	1992	false	alive	CH130	130	130-140	CH	3.800000000000002	0.5439709631014208	5.796150134362751	1.0655208921927053	0.0
Haugimont	100000.0	1992	false	alive	AL50	50	50-60	AL	0.8999999999999999	0.02093336409148782	0.16007030616987644	0.0	0.0
Haugimont	100000.0	1992	false	alive	HE40	40	40-50	HE	0.2	0.0035976184262529413	0.027313685238882	0.0	0.0
Haugimont	100000.0	1992	false	alive	CH250	250	250-260	CH	0.1	0.05110354745066197	0.5777552503149076	0.22139134679895822	0.0
Haugimont	100000.0	1992	false	alive	BO80	80	80-90	BO	1.9000000000000006	0.10932539294729471	0.9697710338519894	0.04830754844740169	0.0
Haugimont	100000.0	1992	false	alive	MR70	70	70-80	MR	0.1	0.0047381791463407645	0.0367337102564059	0.0018165360975336846	0.0
Haugimont	100000.0	1992	false	alive	CA100	100	100-110	CA	0.6	0.051602578027691776	0.575291449291697	0.1673032274507653	0.0
Haugimont	100000.0	1992	false	alive	RD120	120	120-130	RD	0.1	0.013167972064071927	0.16635049476318414	0.0	0.0
Haugimont	100000.0	1992	false	alive	PS80	80	80-90	PS	1.2	0.06840108492745721	0.6260081116122911	0.0	0.0
Haugimont	100000.0	1992	false	alive	FR140	140	140-150	FR	0.6	0.1005883102313504	1.0984897473818085	0.24887549359292999	0.0
Haugimont	100000.0	1992	false	alive	EP90	90	90-100	EP	4.999999999999998	0.35960313468971866	4.147704369536339	0.0	0.0
