# Year	Month	Mean_T	Sum_P	Sum_pet
1900	1	5.76129	95.9	19.9
1901	1	1.49355	13.3	12.6
1902	1	3.54839	49.3	15.3
1903	1	-0.129032	53.7	10.6
1904	1	4.51935	55.9	15.5
1905	1	2.06129	74	14.5
1906	1	2.16452	131.1	12.5
1907	1	3.97419	61.6	19.8
1908	1	-3.96452	43.4	9.5
1909	1	2.84516	99.7	13.1
1910	1	5.26774	71.6	17.3
1911	1	-1.22903	6.2	9.5
1912	1	3.97419	61.6	19.8
1913	1	3.97419	61.6	19.8
1914	1	1.13871	54.3	11.2
1915	1	0.390323	22.5	10.8
1916	1	1.54375	138.4	13.5
1917	1	-1.22903	6.2	9.5
1918	1	1.72581	118.4	15.7
1919	1	5.16129	108.9	18
1920	1	2.80323	53.5	12.4
1921	1	2.31613	108.6	12.5
1922	1	2.1129	92.8	12.4
1923	1	4.51935	55.9	15.5
1924	1	-3.96452	43.4	9.5
1925	1	1.34194	69.9	11.5
1926	1	3.28387	86.2	15
1927	1	4.39032	113.8	16.9
1928	1	1.1871	106.5	12.1
1929	1	4.6	106	20.8
1930	1	5.70323	66.2	20.5
1931	1	-1.16129	39.5	9
1932	1	1.94516	52.7	16
1933	1	3.70645	134.8	14.6
1934	1	-0.7	58.4	11.6
1935	1	1.49355	13.3	12.6
1936	1	1.72581	118.4	15.7
1937	1	5.05806	65	18.2
1938	1	1.94516	52.7	16
1939	1	1.45484	92	12.4
1940	1	3.37419	30.9	12.3
1941	1	1.13871	54.3	11.2
1942	1	2.60645	63.1	12.7
1943	1	5.76129	95.9	19.9
1944	1	2.30968	91.2	17.8
1945	1	3.70645	134.8	14.6
1946	1	3.33548	67.5	17.4
1947	1	1.74839	113.4	12.7
1948	1	2.84516	99.7	13.1
1949	1	2.16452	131.1	12.5
1950	1	1.71613	33.1	13.6
1951	1	5.76129	95.9	19.9
1952	1	0.335484	60.9	13.8
1953	1	2.80323	53.5	12.4
1954	1	4.6	106	20.8
1955	1	3.37419	30.9	12.3
1956	1	2.84839	144.8	17.2
1957	1	2.80323	53.5	12.4
1958	1	4.12258	103.8	13.7
1959	1	3.97097	41	15.4
1960	1	-1.22903	6.2	9.5
1961	1	0.390323	22.5	10.8
1962	1	2.5871	111.5	12.5
1963	1	4.51935	55.9	15.5
1964	1	-4.77097	71.9	8.5
1965	1	4.93226	77.2	18.1
1966	1	1.63226	29.3	11.5
1967	1	5.26774	71.6	17.3
1968	1	3.70645	134.8	14.6
1969	1	4.03548	98.4	17.9
1970	1	-1.22903	6.2	9.5
1971	1	2.06129	74	14.5
1972	1	4.28065	117.7	21.1
1973	1	4.6	106	20.8
1974	1	4.39032	113.8	16.9
1975	1	4.93226	77.2	18.1
1976	1	-0.129032	53.7	10.6
1977	1	4.03548	98.4	17.9
1978	1	4.51935	55.9	15.5
1979	1	0.335484	60.9	13.8
1980	1	3.33548	67.5	17.4
1981	1	4.12258	103.8	13.7
1982	1	1.34194	69.9	11.5
1983	1	2.30968	91.2	17.8
1984	1	-0.129032	53.7	10.6
1985	1	0.335484	60.9	13.8
1986	1	2.84516	99.7	13.1
1987	1	3.70645	134.8	14.6
1988	1	1.49355	13.3	12.6
1989	1	2.60645	63.1	12.7
1990	1	2.80323	53.5	12.4
1991	1	2.60645	63.1	12.7
1992	1	1.94516	52.7	16
1993	1	3.54839	49.3	15.3
1994	1	4.51935	55.9	15.5
1995	1	2.80323	53.5	12.4
1996	1	2.84839	144.8	17.2
1997	1	2.74839	103.4	11.2
1998	1	1.34194	69.9	11.5
1999	1	5.33548	105.6	19.5
2000	1	2.1129	92.8	12.4
2001	1	-0.177419	65.4	10.2
2002	1	1.74839	113.4	12.7
2003	1	-0.0967742	45	13.1
2004	1	3.33548	67.5	17.4
2005	1	0.235484	23.7	8.5
2006	1	3.45484	80.8	19.4
2007	1	4.93226	77.2	18.1
2008	1	3.45484	80.8	19.4
2009	1	4.51935	55.9	15.5
2010	1	4.03548	98.4	17.9
2011	1	1.72581	118.4	15.7
2012	1	1.94516	52.7	16
2013	1	5.76129	95.9	19.9
2014	1	1.49355	13.3	12.6
2015	1	1.72581	118.4	15.7
2016	1	1.1871	106.5	12.1
2017	1	4.51935	55.9	15.5
2018	1	2.30968	91.2	17.8
2019	1	2.35484	41.9	14
2020	1	2.30968	91.2	17.8
2021	1	3.28387	86.2	15
2022	1	1.54375	138.4	13.5
2023	1	-3.86452	57.7	9.6
2024	1	4.6	106	20.8
2025	1	3.54839	49.3	15.3
2026	1	4.12258	103.8	13.7
2027	1	1.72581	118.4	15.7
2028	1	2.84516	99.7	13.1
2029	1	2.95806	189.7	17.2
2030	1	2.06129	74	14.5
2031	1	1.45484	92	12.4
2032	1	2.84839	144.8	17.2
2033	1	4.39032	113.8	16.9
2034	1	5.76129	95.9	19.9
2035	1	3.97097	41	15.4
2036	1	1.94516	52.7	16
2037	1	5.70323	66.2	20.5
2038	1	2.84516	99.7	13.1
2039	1	-3.86452	57.7	9.6
2040	1	4.6	106	20.8
2041	1	1.1871	106.5	12.1
2042	1	4.39032	113.8	16.9
2043	1	3.70645	134.8	14.6
2044	1	3.40645	85.2	16.5
2045	1	3.28387	86.2	15
2046	1	4.28065	117.7	21.1
2047	1	5.05806	65	18.2
2048	1	-0.7	58.4	11.6
2049	1	5.16129	108.9	18
2050	1	4.28065	117.7	21.1
2051	1	3.28387	86.2	15
2052	1	2.74839	103.4	11.2
2053	1	3.28387	86.2	15
2054	1	2.16452	131.1	12.5
2055	1	2.74839	103.4	11.2
2056	1	1.49355	13.3	12.6
2057	1	1.45484	92	12.4
2058	1	1.1871	106.5	12.1
2059	1	1.94516	52.7	16
2060	1	2.60645	63.1	12.7
2061	1	2.74839	103.4	11.2
2062	1	2.02903	120.4	14.5
2063	1	1.34194	69.9	11.5
2064	1	1.1871	106.5	12.1
2065	1	-0.7	58.4	11.6
2066	1	2.16452	131.1	12.5
2067	1	5.26774	71.6	17.3
2068	1	1.73226	57.3	11.4
2069	1	3.33548	67.5	17.4
2070	1	4.39032	113.8	16.9
2071	1	-0.7	58.4	11.6
2072	1	2.16452	131.1	12.5
2073	1	4.39032	113.8	16.9
2074	1	4.28065	117.7	21.1
2075	1	4.03548	98.4	17.9
2076	1	4.51935	55.9	15.5
2077	1	4.12258	103.8	13.7
2078	1	1.72581	118.4	15.7
2079	1	4.93226	77.2	18.1
2080	1	2.60645	63.1	12.7
2081	1	-0.7	58.4	11.6
2082	1	2.16452	131.1	12.5
2083	1	1.49355	13.3	12.6
2084	1	2.06129	74	14.5
2085	1	2.02903	120.4	14.5
2086	1	0.235484	23.7	8.5
2087	1	3.28387	86.2	15
2088	1	-3.96452	43.4	9.5
2089	1	3.97419	61.6	19.8
2090	1	3.54839	49.3	15.3
2091	1	-3.96452	43.4	9.5
2092	1	4.39032	113.8	16.9
2093	1	4.28065	117.7	21.1
2094	1	0.390323	22.5	10.8
2095	1	3.97419	61.6	19.8
2096	1	3.40645	85.2	16.5
2097	1	1.63226	29.3	11.5
2098	1	1.71613	33.1	13.6
2099	1	2.60645	63.1	12.7
2100	1	4.12258	103.8	13.7
2101	1	4.28065	117.7	21.1
2102	1	5.26774	71.6	17.3
2103	1	3.28387	86.2	15
